"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Global","Global",160813869,2060.04956737655,5126313,65.668831572523,717513,3339002,42.7731119731311,87839,1.12523064754315,13043,"Not applicable"
"United States of America","Americas",32496486,9817.59,285669,86.3,35437,578257,174.7,4535,1.37,747,"Community transmission"
"India","South-East Asia",24046809,1742.52,2555211,185.16,343144,262317,19.01,28234,2.05,4000,"Clusters of cases"
"Brazil","Americas",15359397,7225.93,429214,201.93,76692,428034,201.37,13635,6.41,2494,"Community transmission"
"France","Europe",5747161,8836.44,109417,168.23,19134,106493,163.74,1360,2.09,160,"Community transmission"
"Turkey","Europe",5083996,6028.04,106014,125.7,11534,44059,52.24,1872,2.22,238,"Community transmission"
"Russian Federation","Europe",4922901,3373.36,59387,40.69,9462,115116,78.88,2494,1.71,393,"Clusters of cases"
"The United Kingdom","Europe",4444635,6547.2,16078,23.68,2656,127651,188.04,68,0.1,11,"Community transmission"
"Italy","Europe",4139160,6940.07,56962,95.51,8082,123745,207.48,1482,2.48,201,"Clusters of cases"
"Spain","Europe",3592751,7590.43,28146,59.46,0,79208,167.34,206,0.44,0,"Community transmission"
"Germany","Europe",3577040,4301.05,85052,102.27,11336,85848,103.22,1438,1.73,190,"Community transmission"
"Argentina","Americas",3215572,7114.76,144076,318.78,24475,68807,152.24,2942,6.51,496,"Community transmission"
"Colombia","Americas",3048719,5991.64,114108,224.26,16993,79261,155.77,3246,6.38,490,"Community transmission"
"Poland","Europe",2849014,7505.67,24589,64.78,3252,71311,187.87,1866,4.92,290,"Community transmission"
"Iran (Islamic Republic of)","Eastern Mediterranean",2722007,3240.76,111989,133.33,14246,76231,90.76,2325,2.77,297,"Community transmission"
"Mexico","Americas",2371483,1839.32,15498,12.02,3090,219590,170.31,1583,1.23,267,"Community transmission"
"Ukraine","Europe",2143448,4901.13,38020,86.94,7562,47620,108.89,1790,4.09,287,"Community transmission"
"Peru","Americas",1865639,5658.28,41182,124.9,7400,64898,196.83,1922,5.83,207,"Community transmission"
"Indonesia","South-East Asia",1731652,633.09,34347,12.56,3448,47716,17.44,1220,0.45,99,"Community transmission"
"Czechia","Europe",1651178,15440.32,8482,79.32,1231,29857,279.2,249,2.33,32,"Community transmission"
"South Africa","Africa",1605252,2706.61,14882,25.09,3221,55012,92.76,392,0.66,44,"Community transmission"
"Netherlands","Europe",1583767,9098.14,45485,261.29,6088,17413,100.03,146,0.84,14,"Community transmission"
"Canada","Americas",1305770,3459.71,48442,128.35,6198,24766,65.62,316,0.84,52,"Community transmission"
"Chile","Americas",1266601,6625.8,37353,195.4,6153,27520,143.96,625,3.27,136,"Community transmission"
"Iraq","Eastern Mediterranean",1132092,2814.57,33905,84.29,4512,15883,39.49,210,0.52,28,"Community transmission"
"Philippines","Western Pacific",1124724,1026.39,44572,40.67,6385,18821,17.18,830,0.76,107,"Community transmission"
"Romania","Europe",1069770,5534.58,7243,37.47,953,29308,151.63,598,3.09,75,"Community transmission"
"Sweden","Europe",1027934,9953.28,25909,250.87,0,14267,138.14,25,0.24,0,"Community transmission"
"Belgium","Europe",1026473,8908.47,13525,117.38,2,24645,213.89,163,1.41,4,"Community transmission"
"Pakistan","Eastern Mediterranean",870703,394.18,24870,11.26,3265,19336,8.75,799,0.36,126,"Community transmission"
"Portugal","Europe",840929,8167.6,2454,23.83,436,16999,165.1,11,0.11,1,"Clusters of cases"
"Israel","Europe",839076,9694.09,286,3.3,34,6379,73.7,8,0.09,0,"Community transmission"
"Hungary","Europe",796390,8151.78,7202,73.72,1190,29041,297.26,638,6.53,71,"Community transmission"
"Bangladesh","South-East Asia",778687,472.82,9527,5.78,1290,12076,7.33,280,0.17,31,"Community transmission"
"Jordan","Eastern Mediterranean",722754,7083.65,4824,47.28,418,9203,90.2,189,1.85,23,"Community transmission"
"Serbia","Europe",704398,10169.31,7157,103.32,901,6629,95.7,130,1.88,18,"Community transmission"
"Switzerland","Europe",674138,7789.34,5997,69.29,0,10080,116.47,17,0.2,0,"Community transmission"
"Japan","Western Pacific",665547,526.22,44553,35.23,6918,11255,8.9,666,0.53,90,"Clusters of cases"
"Austria","Europe",630993,7088.96,7560,84.93,1100,10181,114.38,108,1.21,11,"Community transmission"
"United Arab Emirates","Eastern Mediterranean",542158,5481.66,11214,113.38,1512,1623,16.41,19,0.19,4,"Clusters of cases"
"Lebanon","Eastern Mediterranean",534968,7837.85,3734,54.71,580,7569,110.89,154,2.26,20,"Community transmission"
"Morocco","Eastern Mediterranean",514670,1394.37,1654,4.48,238,9091,24.63,42,0.11,3,"Community transmission"
"Malaysia","Western Pacific",458077,1415.3,30150,93.15,4855,1788,5.52,178,0.55,27,"Community transmission"
"Nepal","South-East Asia",431191,1479.88,62611,214.89,8842,4466,15.33,937,3.22,214,"Clusters of cases"
"Saudi Arabia","Eastern Mediterranean",430505,1236.59,7099,20.39,1116,7122,20.46,90,0.26,11,"Community transmission"
"Bulgaria","Europe",413320,5945.78,4948,71.18,506,17194,247.34,394,5.67,44,"Clusters of cases"
"Ecuador","Americas",405783,2299.96,10456,59.26,1151,19442,110.2,424,2.4,93,"Community transmission"
"Kazakhstan","Europe",404348,2153.46,10590,56.4,0,4760,25.35,218,1.16,0,"Clusters of cases"
"Slovakia","Europe",387162,7093.64,2140,39.21,294,12168,222.94,222,4.07,33,"Clusters of cases"
"Belarus","Europe",372242,3939.35,7291,77.16,837,2671,28.27,69,0.73,10,"Community transmission"
"Greece","Europe",371712,3467.93,16267,151.76,2158,11266,105.11,419,3.91,55,"Community transmission"
"Panama","Americas",368930,8550.4,2955,68.49,562,6285,145.66,33,0.76,3,"Community transmission"
"Croatia","Europe",349084,8602.02,6597,162.56,926,7664,188.85,276,6.8,41,"Community transmission"
"occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",332111,6510.18,2883,56.51,0,3669,71.92,75,1.47,0,"Community transmission"
"Azerbaijan","Europe",328668,3241.57,3983,39.28,509,4742,46.77,107,1.06,16,"Clusters of cases"
"Georgia","Europe",327831,8218.02,8565,214.71,1390,4397,110.22,152,3.81,18,"Community transmission"
"Bolivia (Plurinational State of)","Americas",324868,2783.07,12461,106.75,2290,13345,114.32,222,1.9,37,"Community transmission"
"Tunisia","Eastern Mediterranean",324823,2748.4,7813,66.11,720,11693,98.94,485,4.1,56,"Community transmission"
"Paraguay","Americas",304889,4274.62,15915,223.13,2828,7358,103.16,560,7.85,74,"Community transmission"
"Kuwait","Eastern Mediterranean",289243,6772.94,7471,174.94,1059,1674,39.2,53,1.24,5,"Community transmission"
"Costa Rica","Americas",276887,5435.43,16352,321,3173,3482,68.35,156,3.06,26,"Community transmission"
"Dominican Republic","Americas",274319,2528.77,5135,47.34,822,3560,32.82,46,0.42,6,"Community transmission"
"Ethiopia","Africa",264960,230.47,4158,3.62,593,3951,3.44,129,0.11,13,"Community transmission"
"Denmark","Europe",263514,4525.58,7032,120.77,1355,2499,42.92,6,0.1,0,"Community transmission"
"Lithuania","Europe",263475,9429.72,8091,289.58,1140,4084,146.17,65,2.33,13,"Community transmission"
"Ireland","Europe",254450,5125.45,2976,59.95,437,4937,99.45,16,0.32,0,"Community transmission"
"Republic of Moldova","Europe",253386,6281.32,1233,30.57,213,5995,148.61,83,2.06,14,"Community transmission"
"Slovenia","Europe",248047,11835.09,3491,166.57,597,4629,220.86,13,0.62,0,"Clusters of cases"
"Egypt","Eastern Mediterranean",242120,236.6,8105,7.92,1193,14150,13.83,436,0.43,59,"Clusters of cases"
"Guatemala","Americas",237682,1326.68,5243,29.27,0,7815,43.62,138,0.77,0,"Community transmission"
"Uruguay","Americas",228102,6566.49,18235,524.94,2255,3252,93.62,334,9.62,44,"Community transmission"
"Honduras","Americas",222992,2251.4,6028,60.86,874,5853,59.09,414,4.18,64,"Community transmission"
"Armenia","Europe",220447,7439.41,1766,59.6,230,4301,145.15,92,3.1,10,"Community transmission"
"Qatar","Eastern Mediterranean",212423,7373.1,2953,102.5,299,522,18.12,29,1.01,3,"Community transmission"
"Venezuela (Bolivarian Republic of)","Americas",210948,741.84,8190,28.8,832,2337,8.22,111,0.39,17,"Community transmission"
"Oman","Eastern Mediterranean",202713,3969.61,3369,65.97,0,2148,42.06,65,1.27,0,"Community transmission"
"Bosnia and Herzegovina","Europe",202003,6157.1,1650,50.29,207,8958,273.04,196,5.97,15,"Community transmission"
"Bahrain","Eastern Mediterranean",196105,11524.91,11408,670.44,1816,715,42.02,45,2.64,10,"Community transmission"
"Libya","Eastern Mediterranean",181179,2636.75,1986,28.9,234,3085,44.9,26,0.38,3,"Community transmission"
"Nigeria","Africa",165612,80.34,299,0.15,53,2066,1,1,0,0,"Community transmission"
"Kenya","Africa",164720,306.33,2622,4.88,334,2968,5.52,118,0.22,18,"Community transmission"
"North Macedonia","Europe",154494,7415.55,1033,49.58,122,5168,248.06,126,6.05,17,"Clusters of cases"
"Myanmar","South-East Asia",143004,262.83,101,0.19,7,3212,5.9,2,0,1,"Clusters of cases"
"Puerto Rico","Americas",135871,4749.32,2025,70.78,102,2412,84.31,64,2.24,17,"Community transmission"
"Sri Lanka","South-East Asia",135796,634.17,16372,76.46,3269,892,4.17,147,0.69,24,"Clusters of cases"
"Albania","Europe",131890,4583.01,380,13.2,45,2426,84.3,20,0.69,3,"Clusters of cases"
"Republic of Korea","Western Pacific",130380,254.3,4336,8.46,747,1893,3.69,33,0.06,2,"Clusters of cases"
"Estonia","Europe",126642,9529.29,2113,158.99,278,1217,91.57,24,1.81,5,"Clusters of cases"
"Latvia","Europe",126387,6625.19,4878,255.7,698,2240,117.42,62,3.25,17,"Community transmission"
"Algeria","Africa",124889,284.8,1416,3.23,207,3355,7.65,48,0.11,5,"Community transmission"
"Cuba","Americas",120561,1064.4,7847,69.28,1186,778,6.87,77,0.68,10,"Community transmission"
"Norway","Europe",117955,2197.55,3050,56.82,461,774,14.42,7,0.13,0,"Clusters of cases"
"Kosovo[1]","Europe",106711,5942.7,732,40.76,103,2208,122.96,20,1.11,1,"Community transmission"
"China","Western Pacific",103937,7.06,178,0.01,35,4858,0.33,0,0,0,"Clusters of cases"
"Kyrgyzstan","Europe",99845,1530.38,2182,33.44,200,1687,25.86,44,0.67,6,"Clusters of cases"
"Montenegro","Europe",98443,15674.09,212,33.75,0,1545,245.99,11,1.75,0,"Clusters of cases"
"Uzbekistan","Europe",96117,287.18,2520,7.53,291,667,1.99,7,0.02,0,"Clusters of cases"
"Thailand","South-East Asia",96050,137.61,17195,24.63,2256,548,0.79,185,0.27,30,"Clusters of cases"
"Ghana","Africa",93159,299.81,331,1.07,34,783,2.52,0,0,0,"Community transmission"
"Zambia","Africa",92262,501.86,316,1.72,51,1260,6.85,4,0.02,1,"Community transmission"
"Finland","Europe",89270,1615.66,1192,21.57,0,930,16.83,11,0.2,0,"Community transmission"
"Cameroon","Africa",74733,281.52,0,0,0,1144,4.31,0,0,0,"Community transmission"
"El Salvador","Americas",70915,1093.32,918,14.15,535,2173,33.5,30,0.46,5,"Community transmission"
"Cyprus","Europe",70571,7947.14,2129,239.75,213,342,38.51,14,1.58,1,"Clusters of cases"
"Mozambique","Africa",70315,224.97,207,0.66,28,826,2.64,7,0.02,0,"Community transmission"
"Luxembourg","Europe",68748,10980.21,728,116.27,0,806,128.73,5,0.8,0,"Community transmission"
"Afghanistan","Eastern Mediterranean",63355,162.75,1900,4.88,310,2730,7.01,57,0.15,9,"Community transmission"
"Singapore","Western Pacific",61453,1050.42,167,2.85,34,31,0.53,0,0,0,"Sporadic cases"
"Botswana","Africa",51538,2191.59,3121,132.72,2497,751,31.94,17,0.72,0,"Community transmission"
"Namibia","Africa",50733,1996.65,1273,50.1,218,704,27.71,30,1.18,2,"Community transmission"
"Mongolia","Western Pacific",47033,1434.68,4569,139.37,585,193,5.89,51,1.56,9,"Clusters of cases"
